metric,weights_map,k,num_queries,total_TP,total_FP,total_TN,total_FN,accuracy,precision,recall,f1_score,specificity,first_tier_accuracy,mean_average_precision,avg_last_rank,roc_auc
euclidean,adjusted,k=N,2481,25120,102032,5923696,102032,0.966834,0.197559,0.197559,0.197559,0.983067,0.493753,0.087708,1.583636,0.674286
cosine,adjusted,k=N,2481,27543,99609,5926119,99609,0.967622,0.216615,0.216615,0.216615,0.983469,0.533656,0.105203,1.91979,0.682896
manhattan,adjusted,k=N,2481,28872,98280,5927448,98280,0.968054,0.227067,0.227067,0.227067,0.98369,0.540911,0.111291,2.031036,0.673765
manhattan+chi-squared,adjusted,k=N,2481,28299,98853,5926875,98853,0.967868,0.22256,0.22256,0.22256,0.983595,0.496171,0.103983,1.913341,0.687104
manhattan+emd,adjusted,k=N,2481,26763,100389,5925339,100389,0.967368,0.21048,0.21048,0.21048,0.98334,0.490931,0.094967,1.433293,0.655339
manhattan+kullback-leibler,adjusted,k=N,2481,28957,98195,5927533,98195,0.968082,0.227735,0.227735,0.227735,0.983704,0.523176,0.110022,2.003628,0.670574
knn,adjusted,k=N,2481,25212,101940,5923788,101940,0.966864,0.198282,0.198282,0.198282,0.983083,0.484079,0.087243,1.551391,0.676533
