Metric,k,Num_Queries,Num_Categories,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Macro_MAP,Macro_First_Tier,Macro_Avg_Last_Rank,Micro_Precision,Micro_Recall,Micro_F1,Specificity,ROC_AUC,Avg_TP,Avg_FP,Avg_TN,Avg_FN
euclidean,k=12,2413,69,0.9771,0.2416,0.0962,0.1376,0.4764,0.4571,1.25,0.3056,0.0725,0.1172,0.9965,0.6901,3.67,8.33,2353.12,46.88
manhattan,k=12,2413,69,0.9776,0.2885,0.1173,0.1668,0.5174,0.5079,1.64,0.3535,0.0839,0.1356,0.9967,0.6882,4.24,7.76,2353.70,46.31
manhattan+chi-squared,k=12,2413,69,0.9774,0.2730,0.1105,0.1573,0.4934,0.4814,1.54,0.3385,0.0803,0.1298,0.9966,0.7047,4.06,7.93,2353.52,46.49
manhattan+emd,k=12,2413,69,0.9770,0.2390,0.0977,0.1387,0.4578,0.4516,1.18,0.2918,0.0692,0.1119,0.9964,0.6506,3.50,8.49,2352.96,47.05
manhattan+kullback-leibler,k=12,2413,69,0.9775,0.2785,0.1137,0.1615,0.4923,0.4846,1.56,0.3398,0.0806,0.1303,0.9966,0.6942,4.08,7.92,2353.53,46.47
