Metric,k,Num_Queries,Num_Categories,Accuracy,Macro_Precision,Macro_Recall,Macro_F1,Macro_MAP,Macro_First_Tier,Macro_Avg_Last_Rank,Micro_Precision,Micro_Recall,Micro_F1,Specificity,ROC_AUC,Avg_TP,Avg_FP,Avg_TN,Avg_FN
euclidean,k=12,2413,69,0.9769,0.2183,0.0859,0.1233,0.4494,0.4289,1.16,0.2824,0.0670,0.1083,0.9964,0.0000,3.39,8.61,2352.85,47.16
knn,k=12,2413,69,0.9769,0.2183,0.0859,0.1233,0.4494,0.4289,1.16,0.2824,0.0670,0.1083,0.9964,0.0000,3.39,8.61,2352.85,47.16
manhattan,k=12,2413,69,0.9772,0.2534,0.1011,0.1446,0.4896,0.4735,1.47,0.3191,0.0757,0.1224,0.9965,0.0000,3.83,8.17,2353.29,46.72
manhattan+chi-squared,k=12,2413,69,0.9770,0.2286,0.0904,0.1296,0.4563,0.4362,1.24,0.2951,0.0700,0.1132,0.9964,0.0000,3.54,8.46,2353.00,47.01
manhattan+emd,k=12,2413,69,0.9769,0.2251,0.0909,0.1295,0.4489,0.4213,1.14,0.2800,0.0665,0.1074,0.9963,0.0000,3.36,8.64,2352.82,47.19
manhattan+kullback-leibler,k=12,2413,69,0.9771,0.2407,0.0964,0.1377,0.4670,0.4478,1.33,0.3036,0.0720,0.1164,0.9965,0.0000,3.64,8.35,2353.10,46.91
